Price_Month,Model,Benchmark_MSRP_USD,Model_Price_Min_USD,Model_Price_Max_USD,Price_Variation_Factor,Price_Source
2015-01-01,1 Series,31782.75,29875.78,35596.67,0.99321,BMW official MSRP anchors + simulated monthly market variation
2015-02-01,1 Series,31833.92,29923.88,35653.99,0.99481,BMW official MSRP anchors + simulated monthly market variation
2015-03-01,1 Series,32124.12,30196.68,35979.02,1.00388,BMW official MSRP anchors + simulated monthly market variation
2015-04-01,1 Series,31816.91,29907.89,35634.94,0.99428,BMW official MSRP anchors + simulated monthly market variation
2015-05-01,1 Series,32128.9,30201.17,35984.37,1.00403,BMW official MSRP anchors + simulated monthly market variation
2015-06-01,1 Series,32149.32,30220.36,36007.24,1.00467,BMW official MSRP anchors + simulated monthly market variation
2015-07-01,1 Series,32174.04,30243.6,36034.92,1.00544,BMW official MSRP anchors + simulated monthly market variation
2015-08-01,1 Series,32066.12,30142.15,35914.05,1.00207,BMW official MSRP anchors + simulated monthly market variation
2015-09-01,1 Series,31934.73,30018.65,35766.9,0.99796,BMW official MSRP anchors + simulated monthly market variation
2015-10-01,1 Series,31599.24,29703.29,35391.15,0.98748,BMW official MSRP anchors + simulated monthly market variation
2015-11-01,1 Series,31788.44,29881.13,35603.05,0.99339,BMW official MSRP anchors + simulated monthly market variation
2015-12-01,1 Series,32029.43,30107.66,35872.96,1.00092,BMW official MSRP anchors + simulated monthly market variation
2016-01-01,1 Series,32899.91,30925.92,36847.9,1.0123,BMW official MSRP anchors + simulated monthly market variation
2016-02-01,1 Series,32738.94,30774.6,36667.61,1.00735,BMW official MSRP anchors + simulated monthly market variation
2016-03-01,1 Series,32788.09,30820.81,36722.67,1.00886,BMW official MSRP anchors + simulated monthly market variation
2016-04-01,1 Series,32995.14,31015.43,36954.55,1.01523,BMW official MSRP anchors + simulated monthly market variation
2016-05-01,1 Series,33100.35,31114.33,37072.4,1.01847,BMW official MSRP anchors + simulated monthly market variation
2016-06-01,1 Series,33002.38,31022.24,36962.67,1.01546,BMW official MSRP anchors + simulated monthly market variation
2016-07-01,1 Series,32807.08,30838.66,36743.93,1.00945,BMW official MSRP anchors + simulated monthly market variation
2016-08-01,1 Series,32702.44,30740.29,36626.73,1.00623,BMW official MSRP anchors + simulated monthly market variation
2016-09-01,1 Series,32785.49,30818.36,36719.75,1.00878,BMW official MSRP anchors + simulated monthly market variation
2016-10-01,1 Series,32925.15,30949.64,36876.16,1.01308,BMW official MSRP anchors + simulated monthly market variation
2016-11-01,1 Series,32692.99,30731.41,36616.15,1.00594,BMW official MSRP anchors + simulated monthly market variation
2016-12-01,1 Series,32991.58,31012.08,36950.57,1.01513,BMW official MSRP anchors + simulated monthly market variation
2017-01-01,1 Series,33669.52,31649.35,37709.86,1.02029,BMW official MSRP anchors + simulated monthly market variation
2017-02-01,1 Series,32932.4,30956.46,36884.29,0.99795,BMW official MSRP anchors + simulated monthly market variation
2017-03-01,1 Series,33148.12,31159.23,37125.9,1.00449,BMW official MSRP anchors + simulated monthly market variation
2017-04-01,1 Series,33200.75,31208.71,37184.84,1.00608,BMW official MSRP anchors + simulated monthly market variation
2017-05-01,1 Series,33524.49,31513.02,37547.43,1.01589,BMW official MSRP anchors + simulated monthly market variation
2017-06-01,1 Series,33462.4,31454.66,37477.89,1.01401,BMW official MSRP anchors + simulated monthly market variation
2017-07-01,1 Series,33765.16,31739.25,37816.98,1.02319,BMW official MSRP anchors + simulated monthly market variation
2017-08-01,1 Series,33703.58,31681.37,37748.01,1.02132,BMW official MSRP anchors + simulated monthly market variation
2017-09-01,1 Series,33883.0,31850.02,37948.96,1.02676,BMW official MSRP anchors + simulated monthly market variation
2017-10-01,1 Series,33293.59,31295.98,37288.82,1.0089,BMW official MSRP anchors + simulated monthly market variation
2017-11-01,1 Series,33814.7,31785.82,37872.47,1.02469,BMW official MSRP anchors + simulated monthly market variation
2017-12-01,1 Series,34154.3,32105.05,38252.82,1.03498,BMW official MSRP anchors + simulated monthly market variation
2018-01-01,1 Series,34168.14,32118.05,38268.32,1.01994,BMW official MSRP anchors + simulated monthly market variation
2018-02-01,1 Series,34601.54,32525.45,38753.73,1.03288,BMW official MSRP anchors + simulated monthly market variation
2018-03-01,1 Series,34606.34,32529.96,38759.11,1.03303,BMW official MSRP anchors + simulated monthly market variation
2018-04-01,1 Series,34335.19,32275.08,38455.41,1.02493,BMW official MSRP anchors + simulated monthly market variation
2018-05-01,1 Series,34163.47,32113.66,38263.08,1.01981,BMW official MSRP anchors + simulated monthly market variation
2018-06-01,1 Series,34476.54,32407.94,38613.72,1.02915,BMW official MSRP anchors + simulated monthly market variation
2018-07-01,1 Series,34367.13,32305.1,38491.19,1.02588,BMW official MSRP anchors + simulated monthly market variation
2018-08-01,1 Series,33991.28,31951.8,38070.23,1.01466,BMW official MSRP anchors + simulated monthly market variation
2018-09-01,1 Series,34359.3,32297.74,38482.41,1.02565,BMW official MSRP anchors + simulated monthly market variation
2018-10-01,1 Series,34285.7,32228.56,38399.99,1.02345,BMW official MSRP anchors + simulated monthly market variation
2018-11-01,1 Series,34416.02,32351.06,38545.95,1.02734,BMW official MSRP anchors + simulated monthly market variation
2018-12-01,1 Series,34255.79,32200.44,38366.48,1.02256,BMW official MSRP anchors + simulated monthly market variation
2019-01-01,1 Series,35331.74,33211.83,39571.55,1.03917,BMW official MSRP anchors + simulated monthly market variation
2019-02-01,1 Series,35146.19,33037.41,39363.73,1.03371,BMW official MSRP anchors + simulated monthly market variation
2019-03-01,1 Series,35057.62,32954.16,39264.53,1.03111,BMW official MSRP anchors + simulated monthly market variation
2019-04-01,1 Series,35054.07,32950.83,39260.56,1.031,BMW official MSRP anchors + simulated monthly market variation
2019-05-01,1 Series,35280.8,33163.95,39514.5,1.03767,BMW official MSRP anchors + simulated monthly market variation
2019-06-01,1 Series,35570.84,33436.59,39839.34,1.0462,BMW official MSRP anchors + simulated monthly market variation
2019-07-01,1 Series,35326.91,33207.3,39566.14,1.03903,BMW official MSRP anchors + simulated monthly market variation
2019-08-01,1 Series,35102.93,32996.75,39315.28,1.03244,BMW official MSRP anchors + simulated monthly market variation
2019-09-01,1 Series,35574.8,33440.31,39843.77,1.04632,BMW official MSRP anchors + simulated monthly market variation
2019-10-01,1 Series,35551.01,33417.95,39817.13,1.04562,BMW official MSRP anchors + simulated monthly market variation
2019-11-01,1 Series,34534.16,32462.11,38678.26,1.01571,BMW official MSRP anchors + simulated monthly market variation
2019-12-01,1 Series,35321.18,33201.91,39559.72,1.03886,BMW official MSRP anchors + simulated monthly market variation
2020-01-01,1 Series,36432.23,34246.29,40804.09,1.05601,BMW official MSRP anchors + simulated monthly market variation
2020-02-01,1 Series,36738.29,34533.99,41146.88,1.06488,BMW official MSRP anchors + simulated monthly market variation
